New Cell Style	新建单元格样式	excel
Style name	样式名称	excel
Style Includes (By Example)	样式包括（举例）	excel
Draw Borders	绘制边框	excel
Draw Border Grid	绘制边框网格	excel
Line Style	线条样式	excel
Center	居中	excel
Accounting	会计专用	excel
Fraction	分数	excel
Scientific	科学记数	excel
Special	特殊	excel
Data Range	数据区域	excel
Sparkline Tools	迷你图工具	excel
Date Axis Type	日期轴类型	excel
Sparkline Date Range	迷你图日期范围	excel
Custom Value	自定义值	excel
Sparkline Vertical Axis Setting	迷你图垂直轴设置	excel
Edit Single Sparkline's Data	编辑单个迷你图的数据	excel
Edit Sparkline Data	编辑迷你图数据	excel
Hidden and Empty Cell Settings	隐藏和空单元格设置	excel
Gaps	间隙	excel
Zero	零	excel
Recommended Charts	推荐的图表	excel
All Charts	所有图表	excel
Chart Elements	图表元素	excel
Chart Styles	图表样式	excel
Chart Design	图表设计	excel
Text	文本	excel
Cell Values	单元格值	excel
Custom List	自定义序列	excel
Copy Level	复制级别	excel
Delete Level	删除级别	excel
On Top	在顶端	excel
On Left	在左侧	excel
On Bottom	在底端	excel
On Right	在右侧	excel
Import	导入	excel
Custom Lists	自定义序列	excel
Convert to range	转换为区域	excel
Sort left to right	从左到右排序	excel
Row	行	excel
Oldest to Newest	从最旧到最新	excel
Newest to Oldest	从最新到最旧	excel
Expand the selection	展开选定区域	excel
Continue with the current selection	以当前选定区域排序	excel
Between	介于	excel
Breaks	分隔符	excel
Insert Page Break	插入分页符	excel
Page	页面	excel
Adjust to	缩放比例	excel
Enable fill handle and cell drag-and-drop	启用填充柄和单元格拖放功能	excel
Remove Page Break	删除分页符	excel
Reset All Page Breaks	重设所有分页符	excel
Show page breaks	显示分页符	excel
Display options for this worksheet	此工作表的显示选项	excel
My Add-ins	我的加载项	excel
More Add-ins	更多加载项	excel
Excel Add-ins	Excel 加载项	excel
Remove Add-in	删除加载项	excel
Manage	管理	excel
COM Add-ins	COM 加载项	excel
Add-Ins available	可用加载项	excel
Automation servers available	可用的自动化服务器	excel
Automation	自动化	excel
Workbook	工作簿；Excel 文件	excel
Worksheet	工作表；工作簿中的单个表页	excel
Cell	单元格	excel
Active Cell	活动单元格；当前选中的单元格	excel
